hand,action
AA,raise
AKs,raise
AKo,raise
AQs,raise
AQo,raise
AJs,raise
AJo,raise
ATs,raise
ATo,fold
A9s,raise
A9o,fold
A8s,fold
A8o,fold
A7s,fold
A7o,fold
A6s,fold
A6o,fold
A5s,raise
A5o,fold
A4s,fold
A4o,fold
A3s,fold
A3o,fold
A2s,fold
A2o,fold
KK,raise
KQs,raise
KQo,raise
KJs,raise
KJo,fold
KTs,raise
KTo,fold
K9s,fold
K9o,fold
K8s,fold
K8o,fold
K7s,fold
K7o,fold
K6s,fold
K6o,fold
K5s,fold
K5o,fold
K4s,fold
K4o,fold
K3s,fold
K3o,fold
K2s,fold
K2o,fold
QQ,raise
QJs,raise
QJo,fold
QTs,raise
QTo,fold
Q9s,fold
Q9o,fold
Q8s,fold
Q8o,fold
Q7s,fold
Q7o,fold
Q6s,fold
Q6o,fold
Q5s,fold
Q5o,fold
Q4s,fold
Q4o,fold
Q3s,fold
Q3o,fold
Q2s,fold
Q2o,fold
JJ,raise
JTs,raise
JTo,fold
J9s,fold
J9o,fold
J8s,fold
J8o,fold
J7s,fold
J7o,fold
J6s,fold
J6o,fold
J5s,fold
J5o,fold
J4s,fold
J4o,fold
J3s,fold
J3o,fold
J2s,fold
J2o,fold
TT,raise
T9s,raise
T9o,fold
T8s,fold
T8o,fold
T7s,fold
T7o,fold
T6s,fold
T6o,fold
T5s,fold
T5o,fold
T4s,fold
T4o,fold
T3s,fold
T3o,fold
T2s,fold
T2o,fold
99,raise
98s,raise
98o,fold
97s,fold
97o,fold
96s,fold
96o,fold
95s,fold
95o,fold
94s,fold
94o,fold
93s,fold
93o,fold
92s,fold
92o,fold
88,raise
87s,fold
87o,fold
86s,fold
86o,fold
85s,fold
85o,fold
84s,fold
84o,fold
83s,fold
83o,fold
82s,fold
82o,fold
77,raise
76s,fold
76o,fold
75s,fold
75o,fold
74s,fold
74o,fold
73s,fold
73o,fold
72s,fold
72o,fold
66,raise
65s,fold
65o,fold
64s,fold
64o,fold
63s,fold
63o,fold
62s,fold
62o,fold
55,fold
54s,fold
54o,fold
53s,fold
53o,fold
52s,fold
52o,fold
44,fold
43s,fold
43o,fold
42s,fold
42o,fold
33,fold
32s,fold
32o,fold
22,fold
size,2.5_BB
